"","ID","unidade","desenvolvimento"
"1","Obs1","UFAL A.C. Simões",2
"2","Obs2","UFAL A.C. Simões",3.66666666666667
"3","Obs3","UFAL A.C. Simões",2.66666666666667
"4","Obs4","UFAL A.C. Simões",4.33333333333333
"5","Obs5","UFAL Arapiraca",2.66666666666667
"6","Obs6","UFAL Arapiraca",2
"7","Obs7","UFAL A.C. Simões",2.66666666666667
"8","Obs8","UFAL A.C. Simões",3.33333333333333
"9","Obs9","UFAL A.C. Simões",2.33333333333333
"10","Obs10","UFAL A.C. Simões",1
"11","Obs11","UFAL A.C. Simões",3
"12","Obs12","UFAL A.C. Simões",3
"13","Obs13","UFAL A.C. Simões",4
"14","Obs14","UFAL A.C. Simões",2.66666666666667
"15","Obs15","UFAL A.C. Simões",4
"16","Obs16","UFAL A.C. Simões",3.33333333333333
"17","Obs17","UFAL A.C. Simões",4
"18","Obs18","UFAL Arapiraca",1.66666666666667
"19","Obs19","UFAL A.C. Simões",1.66666666666667
"20","Obs20","UFAL A.C. Simões",3.66666666666667
"21","Obs21","UFAL A.C. Simões",2
"22","Obs22","UFAL A.C. Simões",3
"23","Obs23","UFAL A.C. Simões",2
"24","Obs24","UFAL Arapiraca",2.66666666666667
"25","Obs25","UFAL A.C. Simões",2
"26","Obs26","UFAL A.C. Simões",2.33333333333333
"27","Obs27","UFAL A.C. Simões",2
"28","Obs28","UFAL A.C. Simões",4
"29","Obs29","UFAL A.C. Simões",2.66666666666667
"30","Obs30","UFAL A.C. Simões",2.66666666666667
"31","Obs31","UFAL A.C. Simões",2.66666666666667
"32","Obs32","UFAL A.C. Simões",1.66666666666667
"33","Obs33","UFAL A.C. Simões",3.33333333333333
"34","Obs34","UFAL A.C. Simões",2.33333333333333
"35","Obs35","UFAL A.C. Simões",2.66666666666667
"36","Obs36","UFAL A.C. Simões",3.33333333333333
"37","Obs37","UFAL A.C. Simões",3.33333333333333
"38","Obs38","UFAL A.C. Simões",3.66666666666667
"39","Obs39","UFAL A.C. Simões",4
"40","Obs40","UFAL A.C. Simões",3.66666666666667
"41","Obs41","UFAL A.C. Simões",2.66666666666667
"42","Obs42","UFAL A.C. Simões",2
"43","Obs43","UFAL Arapiraca",4
"44","Obs44","UFAL Arapiraca",3.33333333333333
"45","Obs45","UFAL A.C. Simões",3.66666666666667
"46","Obs46","UFAL A.C. Simões",3.33333333333333
"47","Obs47","UFAL CECA",2.33333333333333
"48","Obs48","UFAL Arapiraca",3.33333333333333
"49","Obs49","UFAL A.C. Simões",1
"50","Obs50","UFAL A.C. Simões",1.66666666666667
"51","Obs51","UFAL A.C. Simões",1.33333333333333
"52","Obs52","UFAL A.C. Simões",1.66666666666667
"53","Obs53","UFAL Arapiraca",3
"54","Obs54","UFAL A.C. Simões",3.66666666666667
"55","Obs55","UFAL Arapiraca",2.66666666666667
"56","Obs56","UFAL A.C. Simões",2.66666666666667
"57","Obs57","UFAL A.C. Simões",2.33333333333333
"58","Obs59","UFAL A.C. Simões",1.33333333333333
"59","Obs60","UFAL A.C. Simões",3
"60","Obs61","UFAL A.C. Simões",2
"61","Obs62","UFAL A.C. Simões",3.33333333333333
"62","Obs63","UFAL Arapiraca",2
"63","Obs64","UFAL A.C. Simões",1
"64","Obs65","UFAL A.C. Simões",2.33333333333333
"65","Obs66","UFAL A.C. Simões",4.33333333333333
"66","Obs67","UFAL Arapiraca",3.33333333333333
"67","Obs68","UFAL A.C. Simões",3
"68","Obs69","UFAL CECA",3.66666666666667
"69","Obs70","UFAL A.C. Simões",3.33333333333333
"70","Obs71","UFAL A.C. Simões",1.66666666666667
"71","Obs72","UFAL A.C. Simões",1.66666666666667
"72","Obs73","UFAL A.C. Simões",2.33333333333333
"73","Obs74","UFAL A.C. Simões",2
"74","Obs75","UFAL A.C. Simões",2
"75","Obs76","UFAL A.C. Simões",3
"76","Obs77","UFAL A.C. Simões",3
"77","Obs78","UFAL A.C. Simões",3.33333333333333
"78","Obs79","UFAL Arapiraca",2.33333333333333
"79","Obs80","UFAL A.C. Simões",2.33333333333333
"80","Obs81","UFAL Arapiraca",2.33333333333333
"81","Obs82","UFAL A.C. Simões",3
"82","Obs83","UFAL A.C. Simões",1.33333333333333
"83","Obs86","UFAL Arapiraca",3.66666666666667
"84","Obs87","UFAL A.C. Simões",2
"85","Obs88","UFAL A.C. Simões",3
"86","Obs89","UFAL A.C. Simões",2.33333333333333
"87","Obs90","UFAL A.C. Simões",3
"88","Obs91","UFAL A.C. Simões",2.33333333333333
"89","Obs92","UFAL Arapiraca",1.66666666666667
"90","Obs93","UFAL Arapiraca",2
"91","Obs94","UFAL A.C. Simões",2
"92","Obs95","UFAL A.C. Simões",3.66666666666667
"93","Obs96","UFAL A.C. Simões",3
"94","Obs97","UFAL Arapiraca",3
"95","Obs98","UFAL A.C. Simões",3.66666666666667
"96","Obs99","UFAL A.C. Simões",1.66666666666667
"97","Obs100","UFAL Arapiraca",2.66666666666667
"98","Obs101","UFAL A.C. Simões",2
"99","Obs102","UFAL Arapiraca",2.66666666666667
"100","Obs103","UFAL Arapiraca",2.66666666666667
"101","Obs104","UFAL A.C. Simões",1.33333333333333
"102","Obs105","UFAL A.C. Simões",2.66666666666667
"103","Obs106","UFAL A.C. Simões",3.66666666666667
"104","Obs107","UFAL A.C. Simões",3.33333333333333
"105","Obs108","UFAL A.C. Simões",3.33333333333333
"106","Obs109","UFAL A.C. Simões",3.33333333333333
"107","Obs110","UFAL Arapiraca",1.33333333333333
"108","Obs111","UFAL CECA",2.33333333333333
"109","Obs112","UFAL A.C. Simões",1.66666666666667
"110","Obs113","UFAL A.C. Simões",2
"111","Obs114","UFAL A.C. Simões",3
"112","Obs115","UFAL A.C. Simões",3
"113","Obs116","UFAL Arapiraca",1.66666666666667
"114","Obs117","UFAL A.C. Simões",3.33333333333333
"115","Obs118","UFAL A.C. Simões",3
"116","Obs119","UFAL A.C. Simões",1.33333333333333
"117","Obs120","UFAL A.C. Simões",2.66666666666667
"118","Obs121","UFAL A.C. Simões",2
"119","Obs122","UFAL A.C. Simões",2.66666666666667
"120","Obs123","UFAL A.C. Simões",3
