mdl,Omega,Omega.H,Omega.Limit,Alpha,Alpha.G.6,Chisq,df,TLI,RMSEA,RMSEA.lower,RMSEA.upper
all,0.9420660294501891,0.7547142367295445,0.8011266865975549,0.9337601345772751,0.9435314458152951,357.0472027043051,167,0.8723165501568014,0.07062446356653294,0.06346375836701154,0.07816034720248992
cfa-mdl,0.9224240883907774,0.7106335808064075,0.7703979002176202,0.9082081296173216,0.919786128688748,182.78623930233132,74,0.8593372035398481,0.08320532689432146,0.07277219541289696,0.0941888803304935
alt-mdl,0.9047827260001067,0.7090985611028255,0.7837224791388667,0.883330767673947,0.8939986545059194,92.22975995005787,32,0.8827837527448223,0.08408521095928184,0.06828019477924477,0.1007719823646814
