"","ID","unidade","pedagogica"
"137","Obs141","UFAL A.C. Simões",1
"138","Obs142","UFAL A.C. Simões",1.75
"139","Obs143","UFAL A.C. Simões",1.75
"140","Obs144","UFAL A.C. Simões",2
"141","Obs145","UFAL A.C. Simões",2
"142","Obs146","UFAL A.C. Simões",1.5
"143","Obs147","UFAL A.C. Simões",1
"144","Obs148","UFAL A.C. Simões",1.25
"145","Obs149","UFAL A.C. Simões",1.5
"146","Obs150","UFAL A.C. Simões",3.25
"147","Obs151","UFAL A.C. Simões",1
"148","Obs152","UFAL A.C. Simões",1.25
"149","Obs153","UFAL Arapiraca",1
"150","Obs154","UFAL Arapiraca",1.25
"151","Obs155","UFAL CECA",3
"152","Obs156","UFAL A.C. Simões",2.75
"153","Obs157","UFAL A.C. Simões",1.5
"154","Obs158","UFAL A.C. Simões",2
"155","Obs159","UFAL A.C. Simões",2.75
"156","Obs160","UFAL CECA",4.25
"157","Obs161","UFAL Arapiraca",2.5
"158","Obs162","UFAL A.C. Simões",1.5
"159","Obs163","UFAL Arapiraca",2.5
"160","Obs164","UFAL Arapiraca",1.75
"161","Obs165","UFAL Arapiraca",2
"162","Obs166","UFAL CECA",4
"163","Obs167","UFAL A.C. Simões",3
"164","Obs168","UFAL Arapiraca",1.75
"165","Obs169","UFAL A.C. Simões",2.25
"166","Obs170","UFAL A.C. Simões",1
"167","Obs171","UFAL A.C. Simões",3.75
"168","Obs172","UFAL Arapiraca",1
"169","Obs173","UFAL A.C. Simões",2
"170","Obs174","UFAL A.C. Simões",1
"171","Obs175","UFAL A.C. Simões",1
"172","Obs176","UFAL A.C. Simões",1
"173","Obs177","UFAL CECA",1.5
"174","Obs178","UFAL A.C. Simões",3.5
"175","Obs179","UFAL Arapiraca",3.5
"176","Obs180","UFAL A.C. Simões",1.25
"177","Obs181","UFAL A.C. Simões",2.5
"178","Obs182","UFAL A.C. Simões",2.75
"179","Obs183","UFAL A.C. Simões",2.5
"180","Obs184","UFAL A.C. Simões",1.25
"181","Obs185","UFAL A.C. Simões",2
"182","Obs186","UFAL CECA",2.75
"183","Obs187","UFAL A.C. Simões",1
"184","Obs188","UFAL A.C. Simões",5
"185","Obs189","UFAL A.C. Simões",1
"186","Obs190","UFAL A.C. Simões",1.5
"187","Obs191","UFAL Arapiraca",2.25
"188","Obs193","UFAL Arapiraca",2.5
"189","Obs194","UFAL A.C. Simões",3.25
"190","Obs195","UFAL CECA",1.5
"191","Obs196","UFAL Arapiraca",3.5
"192","Obs197","UFAL CECA",3
"193","Obs198","UFAL A.C. Simões",1
"194","Obs199","UFAL CECA",2.25
"195","Obs200","UFAL A.C. Simões",1.5
"196","Obs201","UFAL A.C. Simões",1
"197","Obs202","UFAL Arapiraca",1
"198","Obs203","UFAL A.C. Simões",3.5
"199","Obs204","UFAL Arapiraca",1.25
"200","Obs205","UFAL A.C. Simões",2.75
"201","Obs206","UFAL CECA",2.75
"202","Obs207","UFAL Arapiraca",1.5
"203","Obs208","UFAL A.C. Simões",4
"204","Obs209","UFAL A.C. Simões",1.75
"205","Obs210","UFAL A.C. Simões",1
"206","Obs211","UFAL CECA",3.75
"207","Obs212","UFAL A.C. Simões",3.75
"208","Obs213","UFAL A.C. Simões",2.25
"209","Obs214","UFAL A.C. Simões",1
"210","Obs215","UFAL A.C. Simões",4
"211","Obs216","UFAL A.C. Simões",2.75
"212","Obs217","UFAL A.C. Simões",3.5
"213","Obs218","UFAL A.C. Simões",1.75
"214","Obs219","UFAL A.C. Simões",1
"215","Obs220","UFAL Arapiraca",2.75
"216","Obs221","UFAL A.C. Simões",2
"217","Obs222","UFAL A.C. Simões",3.25
"218","Obs223","UFAL A.C. Simões",1.25
"219","Obs224","UFAL A.C. Simões",3
"220","Obs225","UFAL CECA",1.75
"221","Obs226","UFAL A.C. Simões",1.75
"222","Obs227","UFAL A.C. Simões",1.25
"223","Obs228","UFAL A.C. Simões",2.75
"224","Obs229","UFAL A.C. Simões",1.75
"225","Obs230","UFAL A.C. Simões",3.75
"226","Obs231","UFAL A.C. Simões",4
"227","Obs232","UFAL A.C. Simões",1.75
"228","Obs233","UFAL A.C. Simões",2
"229","Obs234","UFAL A.C. Simões",4.75
"230","Obs235","UFAL A.C. Simões",1
"231","Obs236","UFAL A.C. Simões",1
"232","Obs237","UFAL A.C. Simões",2
"233","Obs238","UFAL A.C. Simões",1.25
"234","Obs239","UFAL CECA",1.25
"235","Obs240","UFAL A.C. Simões",2.5
"236","Obs241","UFAL A.C. Simões",4
"237","Obs242","UFAL A.C. Simões",1.25
"238","Obs243","UFAL A.C. Simões",2.75
"239","Obs244","UFAL A.C. Simões",1
"240","Obs245","UFAL A.C. Simões",2.5
"241","Obs246","UFAL A.C. Simões",2.25
"242","Obs247","UFAL A.C. Simões",1.25
"243","Obs248","UFAL A.C. Simões",2.25
"244","Obs249","UFAL A.C. Simões",1.5
"245","Obs250","UFAL A.C. Simões",3.25
"246","Obs251","UFAL A.C. Simões",2.5
"247","Obs252","UFAL A.C. Simões",2.5
"248","Obs254","UFAL Arapiraca",2.25
"249","Obs255","UFAL A.C. Simões",3.5
"250","Obs256","UFAL A.C. Simões",1
"251","Obs257","UFAL A.C. Simões",1.5
"252","Obs258","UFAL A.C. Simões",1.25
"253","Obs259","UFAL A.C. Simões",1.75
"254","Obs260","UFAL A.C. Simões",1.75
"255","Obs261","UFAL A.C. Simões",2.25
"256","Obs262","UFAL A.C. Simões",2.25
"257","Obs263","UFAL A.C. Simões",2
"258","Obs265","UFAL A.C. Simões",2
"259","Obs266","UFAL A.C. Simões",1.75
"260","Obs267","UFAL A.C. Simões",1
"261","Obs268","UFAL Arapiraca",2
"262","Obs269","UFAL Arapiraca",2.75
"263","Obs270","UFAL Arapiraca",1
"264","Obs271","UFAL CECA",2
"265","Obs272","UFAL A.C. Simões",2
"266","Obs273","UFAL A.C. Simões",2.75
"267","Obs274","UFAL A.C. Simões",2.25
"268","Obs275","UFAL A.C. Simões",1.25
"269","Obs276","UFAL Arapiraca",3.5
"270","Obs277","UFAL A.C. Simões",1.5
"271","Obs278","UFAL CECA",1.75
"272","Obs279","UFAL CECA",2
"273","Obs280","UFAL A.C. Simões",2.5
"274","Obs281","UFAL A.C. Simões",1.75
"275","Obs282","UFAL A.C. Simões",3.25
"276","Obs283","UFAL A.C. Simões",3
"277","Obs284","UFAL CECA",2.5
"278","Obs285","UFAL A.C. Simões",1.75
"279","Obs286","UFAL A.C. Simões",1
"280","Obs287","UFAL A.C. Simões",3
"281","Obs288","UFAL A.C. Simões",2
"282","Obs289","UFAL A.C. Simões",1.75
"283","Obs290","UFAL A.C. Simões",1.25
"284","Obs291","UFAL CECA",1.5
"285","Obs292","UFAL Arapiraca",1.25
"286","Obs293","UFAL A.C. Simões",1.5
"287","Obs294","UFAL A.C. Simões",2
"288","Obs295","UFAL Arapiraca",1.75
"289","Obs296","UFAL A.C. Simões",2.5
"290","Obs297","UFAL Arapiraca",2
"291","Obs298","UFAL A.C. Simões",2.5
"292","Obs299","UFAL A.C. Simões",2
"293","Obs300","UFAL A.C. Simões",2
"294","Obs302","UFAL A.C. Simões",2.75
"295","Obs303","UFAL CECA",1.25
"296","Obs304","UFAL A.C. Simões",1.5
"297","Obs305","UFAL CECA",1.75
"298","Obs306","UFAL A.C. Simões",1.25
"299","Obs307","UFAL A.C. Simões",1.75
"300","Obs308","UFAL Arapiraca",1.25
"301","Obs309","UFAL Arapiraca",1.5
"302","Obs310","UFAL A.C. Simões",3
"303","Obs311","UFAL A.C. Simões",1
"304","Obs312","UFAL A.C. Simões",3.25
"305","Obs313","UFAL Arapiraca",1
"306","Obs315","UFAL A.C. Simões",1.25
"307","Obs316","UFAL Arapiraca",1.75
"308","Obs317","UFAL CECA",1.5
"309","Obs318","UFAL A.C. Simões",1.25
"310","Obs319","UFAL A.C. Simões",3.25
"311","Obs320","UFAL A.C. Simões",2.5
"312","Obs322","UFAL Arapiraca",5
"313","Obs323","UFAL A.C. Simões",1.75
"314","Obs324","UFAL A.C. Simões",1.25
"315","Obs325","UFAL A.C. Simões",2.25
"316","Obs326","UFAL A.C. Simões",1
"317","Obs327","UFAL A.C. Simões",1.75
"318","Obs328","UFAL Arapiraca",2.5
"319","Obs329","UFAL A.C. Simões",2.25
"320","Obs330","UFAL A.C. Simões",1.75
