"","ID","unidade","cidadania"
"74","Obs75","UFAL A.C. Simões",3.5
"75","Obs76","UFAL A.C. Simões",2.66666666666667
"76","Obs77","UFAL A.C. Simões",2.33333333333333
"77","Obs78","UFAL A.C. Simões",2.16666666666667
"78","Obs79","UFAL Arapiraca",2.33333333333333
"79","Obs80","UFAL A.C. Simões",2.33333333333333
"80","Obs81","UFAL Arapiraca",2.16666666666667
"81","Obs82","UFAL A.C. Simões",2.5
"82","Obs83","UFAL A.C. Simões",1.66666666666667
"83","Obs86","UFAL Arapiraca",2
"84","Obs87","UFAL A.C. Simões",1.33333333333333
"85","Obs88","UFAL A.C. Simões",2.5
"86","Obs89","UFAL A.C. Simões",1.66666666666667
"87","Obs90","UFAL A.C. Simões",2.83333333333333
"88","Obs91","UFAL A.C. Simões",2
"89","Obs92","UFAL Arapiraca",2
"90","Obs93","UFAL Arapiraca",2.5
"91","Obs94","UFAL A.C. Simões",3.16666666666667
"92","Obs95","UFAL A.C. Simões",2.66666666666667
"93","Obs96","UFAL A.C. Simões",2
"94","Obs97","UFAL Arapiraca",2.16666666666667
"95","Obs98","UFAL A.C. Simões",4.16666666666667
"96","Obs99","UFAL A.C. Simões",1.66666666666667
"97","Obs100","UFAL Arapiraca",2.16666666666667
"98","Obs101","UFAL A.C. Simões",2.5
"99","Obs102","UFAL Arapiraca",2
"100","Obs103","UFAL Arapiraca",2.5
"101","Obs104","UFAL A.C. Simões",1.33333333333333
"102","Obs105","UFAL A.C. Simões",2
"103","Obs106","UFAL A.C. Simões",4
"104","Obs107","UFAL A.C. Simões",2.66666666666667
"105","Obs108","UFAL A.C. Simões",2.83333333333333
"106","Obs109","UFAL A.C. Simões",2.83333333333333
"107","Obs110","UFAL Arapiraca",2.16666666666667
"108","Obs111","UFAL CECA",2.33333333333333
"109","Obs112","UFAL A.C. Simões",2.5
"110","Obs113","UFAL A.C. Simões",1.83333333333333
"111","Obs114","UFAL A.C. Simões",2.33333333333333
"112","Obs115","UFAL A.C. Simões",3
"113","Obs116","UFAL Arapiraca",2
"114","Obs117","UFAL A.C. Simões",3.33333333333333
"115","Obs118","UFAL A.C. Simões",3
"116","Obs119","UFAL A.C. Simões",2.16666666666667
"117","Obs120","UFAL A.C. Simões",2.83333333333333
"118","Obs121","UFAL A.C. Simões",2
"119","Obs122","UFAL A.C. Simões",3.66666666666667
"120","Obs123","UFAL A.C. Simões",2.66666666666667
"121","Obs124","UFAL Arapiraca",1.16666666666667
"122","Obs125","UFAL A.C. Simões",2.83333333333333
"123","Obs126","UFAL Arapiraca",3.16666666666667
"124","Obs127","UFAL A.C. Simões",3.66666666666667
"125","Obs128","UFAL A.C. Simões",1.5
"126","Obs129","UFAL A.C. Simões",3.66666666666667
"127","Obs131","UFAL A.C. Simões",2.5
"128","Obs132","UFAL A.C. Simões",3.16666666666667
"129","Obs133","UFAL A.C. Simões",1.5
"130","Obs134","UFAL A.C. Simões",2.16666666666667
"131","Obs135","UFAL CECA",2.33333333333333
"132","Obs136","UFAL A.C. Simões",3.16666666666667
"133","Obs137","UFAL A.C. Simões",2.16666666666667
"134","Obs138","UFAL A.C. Simões",2.83333333333333
"135","Obs139","UFAL A.C. Simões",3
"136","Obs140","UFAL Arapiraca",1.5
"137","Obs141","UFAL A.C. Simões",2.83333333333333
"138","Obs142","UFAL A.C. Simões",2
"139","Obs143","UFAL A.C. Simões",1.83333333333333
"140","Obs144","UFAL A.C. Simões",2.5
"141","Obs145","UFAL A.C. Simões",2.66666666666667
"142","Obs146","UFAL A.C. Simões",2.33333333333333
"143","Obs147","UFAL A.C. Simões",2.5
"144","Obs148","UFAL A.C. Simões",1.33333333333333
"145","Obs149","UFAL A.C. Simões",3
"146","Obs150","UFAL A.C. Simões",2.33333333333333
"147","Obs151","UFAL A.C. Simões",2.16666666666667
"148","Obs152","UFAL A.C. Simões",1.16666666666667
"149","Obs153","UFAL Arapiraca",1.66666666666667
"150","Obs154","UFAL Arapiraca",1.66666666666667
"151","Obs155","UFAL CECA",2.16666666666667
"152","Obs156","UFAL A.C. Simões",3.16666666666667
"153","Obs157","UFAL A.C. Simões",2.33333333333333
"154","Obs158","UFAL A.C. Simões",2.5
"155","Obs159","UFAL A.C. Simões",2.5
"156","Obs160","UFAL CECA",3.5
"157","Obs161","UFAL Arapiraca",3.66666666666667
"158","Obs162","UFAL A.C. Simões",2.66666666666667
"159","Obs163","UFAL Arapiraca",1.83333333333333
"160","Obs164","UFAL Arapiraca",1.66666666666667
"161","Obs165","UFAL Arapiraca",3.66666666666667
"162","Obs166","UFAL CECA",4.5
"163","Obs167","UFAL A.C. Simões",2.66666666666667
"164","Obs168","UFAL Arapiraca",2.33333333333333
"165","Obs169","UFAL A.C. Simões",3.16666666666667
"166","Obs170","UFAL A.C. Simões",1.16666666666667
"167","Obs171","UFAL A.C. Simões",2.83333333333333
"168","Obs172","UFAL Arapiraca",1.66666666666667
"169","Obs173","UFAL A.C. Simões",3.16666666666667
"170","Obs174","UFAL A.C. Simões",2.66666666666667
"171","Obs175","UFAL A.C. Simões",2.16666666666667
"172","Obs176","UFAL A.C. Simões",1.66666666666667
"173","Obs177","UFAL CECA",2.33333333333333
"174","Obs178","UFAL A.C. Simões",3.16666666666667
"175","Obs179","UFAL Arapiraca",2.16666666666667
"176","Obs180","UFAL A.C. Simões",1.16666666666667
"177","Obs181","UFAL A.C. Simões",2.33333333333333
"178","Obs182","UFAL A.C. Simões",3.16666666666667
"179","Obs183","UFAL A.C. Simões",1.66666666666667
"180","Obs184","UFAL A.C. Simões",2.33333333333333
"181","Obs185","UFAL A.C. Simões",2
"182","Obs186","UFAL CECA",2.5
"183","Obs187","UFAL A.C. Simões",2
"184","Obs188","UFAL A.C. Simões",4.5
"185","Obs189","UFAL A.C. Simões",1.66666666666667
"186","Obs190","UFAL A.C. Simões",1.66666666666667
"187","Obs191","UFAL Arapiraca",2.66666666666667
"188","Obs193","UFAL Arapiraca",2.66666666666667
"189","Obs194","UFAL A.C. Simões",2.83333333333333
"190","Obs195","UFAL CECA",2.5
"191","Obs196","UFAL Arapiraca",1.83333333333333
"192","Obs197","UFAL CECA",2.33333333333333
"193","Obs198","UFAL A.C. Simões",1.83333333333333
"194","Obs199","UFAL CECA",2.16666666666667
"195","Obs200","UFAL A.C. Simões",2.66666666666667
"196","Obs201","UFAL A.C. Simões",2
"197","Obs202","UFAL Arapiraca",1.33333333333333
"198","Obs203","UFAL A.C. Simões",3.33333333333333
"199","Obs204","UFAL Arapiraca",1.66666666666667
"200","Obs205","UFAL A.C. Simões",3.66666666666667
