ID,formacao.continuada,unidade,pedagogica,cidadania,desenvolvimento
5e8b83c3a861ff6835a5cb0c,Pós-doutorado - Concluído,UFAL A.C. Simões,2.75,3.1666666666666665,3.3333333333333335
5e8b87a1a861ff6835a5cb5c,Formação continuada - Concluída,UFAL A.C. Simões,2,2.5,4.333333333333333
5e8bbac9a861ff6839af136a,Formação continuada - Concluída,UFAL Arapiraca,1.75,1.6666666666666667,2
5e8bbdd9a861ff6839af137f,Doutorado - Concluído,UFAL Arapiraca,2,3.6666666666666665,3.6666666666666665
5e8bc5ada861ff6839af1399,Doutorado - Concluído,UFAL A.C. Simões,3,2.6666666666666665,2.3333333333333335
5e8bc6a5a861ff6835a5cdad,Doutorado - Concluído,UFAL A.C. Simões,2.25,3.1666666666666665,3
5e8bd9cba861ff6835a5ce2c,Formação continuada - Concluída,UFAL A.C. Simões,3.75,2.8333333333333335,2
5e8c58caa861ff6ff383c55d,Doutorado - Concluído,UFAL A.C. Simões,2,3.1666666666666665,4.333333333333333
5e8c60daa861ff6fefca95f2,Doutorado - Concluído,UFAL A.C. Simões,1,2.6666666666666665,3
5e8c671aa861ff6fefca9623,Formação continuada - Em andamento,UFAL A.C. Simões,1,1.6666666666666667,1
5e8c7b39a861ff2e94d12f5e,Doutorado - Concluído,UFAL A.C. Simões,2.5,2.3333333333333335,2
5e8c87a4a861ff2e90d6a2e1,Pós-doutorado - Concluído,UFAL A.C. Simões,2,2,2.6666666666666665
5e8c8b93a861ff47f7768ef7,Formação continuada - Concluída,UFAL CECA,2.75,2.5,3.6666666666666665
5e8c9918a861ff47fb25fcc4,Pós-doutorado - Concluído,UFAL A.C. Simões,5,4.5,4.333333333333333
5e8cb62fa861ff47fb25fd84,Formação continuada - Concluída,UFAL Sertão,2,1.6666666666666667,1.3333333333333333
5e8cbd8aa861ff47fb25fd98,Graduação - Em andamento,UFAL Arapiraca,2.5,2.6666666666666665,3.3333333333333335
5e8cbeada861ff47f7768fde,Formação continuada - Concluída,UFAL A.C. Simões,3.25,2.8333333333333335,3.3333333333333335
5e8cc8d6a861ff47f7769010,Formação continuada - Concluída,UFAL Arapiraca,3.5,1.8333333333333333,2.6666666666666665
5e8cd187a861ff47fb25fe07,Formação continuada - Concluída,UFAL CECA,2.25,2.1666666666666665,2.6666666666666665
5e8cdb83a861ff47f7769060,Doutorado - Concluído,UFAL A.C. Simões,1.5,2.6666666666666665,1.6666666666666667
5e8cee38a861ff47fb25fe6f,Formação continuada - Concluída,UFAL A.C. Simões,3.5,3.3333333333333335,3.6666666666666665
5e8cf2b4a861ff47f77690bc,Formação continuada - Concluída,UFAL A.C. Simões,2.75,3.6666666666666665,4
5e8cf435a861ff47f77690cb,Mestrado - Concluído,UFAL CECA,2.75,3,2.6666666666666665
5e8d1446a861ff47fb25ff60,Doutorado - Concluído,UFAL A.C. Simões,4,3.3333333333333335,3.3333333333333335
5e8dff61a861ff1ea2a1468e,Doutorado - Concluído,UFAL CECA,3.75,2.6666666666666665,3
