ID,etapa.de.ensino,area.de.conhecimento,formacao.continuada,unidade,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23
5e8fc4b4a861ff3027b948a9,Ensino Superior,Ciências Humanas,NA,UFAL A.C. Simões,3,2,2,1,3,1,3,2,2,2,3,4,2,4,2,3,2,1,3,2,3,2,3
5e907623a861ff49215e3290,Ensino Superior,Linguística/Letras e Artes,NA,UFAL A.C. Simões,1,2,4,2,1,1,3,1,4,2,3,2,5,2,2,4,2,2,4,4,3,5,5
5e90814ca861ff4925848a37,Ensino Superior,Linguística/Letras e Artes,Doutorado - Concluído,UFAL A.C. Simões,4,2,5,5,5,4,3,3,3,4,2,4,3,3,3,3,4,1,3,3,1,1,2
5e90dfcfa861ff4925848a8e,Ensino Superior,Linguística/Letras e Artes,NA,UFAL A.C. Simões,2,2,1,1,1,1,1,2,1,2,1,4,2,4,2,2,2,2,1,2,1,1,1
5e90e833a861ff4925848a9f,Ensino Superior,Ciências da Saúde,NA,UFAL A.C. Simões,2,2,1,1,1,1,1,2,2,2,2,1,1,2,1,3,2,1,3,1,1,2,2
5e911aafa861ff4925848ac9,Ensino Superior,Ciências da Saúde,Formação continuada - Em andamento,UFAL A.C. Simões,3,2,2,2,2,2,2,2,1,3,2,3,1,2,1,3,1,1,3,2,2,2,2
5e91be71a861ff59adc58000,Ensino Superior,Ciências Humanas,NA,UFAL A.C. Simões,2,2,2,1,1,1,1,2,2,2,2,4,1,2,2,3,2,1,1,1,1,2,3
5e91ce60a861ff59adc58018,Ensino Superior,Linguística/Letras e Artes,NA,UFAL A.C. Simões,4,4,2,3,3,2,2,3,4,3,4,5,4,3,2,4,3,3,3,3,3,2,4
5e92f650a861ff68336d084c,Ensino Superior,Ciências da Saúde,NA,UFAL A.C. Simões,5,4,4,4,4,4,4,5,5,5,4,5,2,4,2,3,3,5,5,2,3,2,5
5e944d3fa861ff7896812ca1,Ensino Superior,Ciências Humanas,NA,UFAL A.C. Simões,2,2,2,1,1,1,2,2,2,3,2,1,1,2,2,4,4,2,3,3,3,3,3
5e945ae3a861ff7892432234,Ensino Superior,Linguística/Letras e Artes,Formação continuada - Concluída,UFAL A.C. Simões,3,3,2,4,1,4,4,3,2,2,2,4,2,2,2,5,2,2,3,3,4,4,3
5e946eb5a861ff789243224e,Ensino Superior,Ciências Sociais Aplicadas,Formação continuada - Concluída;Formação continuada - Em andamento,UFAL A.C. Simões,4,2,2,2,3,2,3,3,4,2,3,3,2,2,2,4,2,1,4,4,2,2,2
5e947071a861ff7896812cea,Ensino Superior,Ciências Sociais Aplicadas,NA,UFAL A.C. Simões,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,1,1,2,1,2,2
5e947159a861ff7896812cf0,Ensino Superior,Ciências Sociais Aplicadas;Engenharias,Doutorado - Em andamento,UFAL A.C. Simões,5,4,5,4,5,3,3,3,4,3,3,5,3,4,3,4,4,3,4,3,3,4,3
5e947b75a861ff789243227b,Ensino Superior,Linguística/Letras e Artes,Formação continuada - Em andamento,UFAL A.C. Simões,3,3,2,4,3,1,2,2,3,2,3,2,2,3,2,3,2,2,5,2,4,4,3
5e947c08a861ff789243227e,Ensino Superior,Ciências da Saúde,NA,UFAL A.C. Simões,2,2,1,1,3,4,1,3,2,2,3,4,2,3,2,2,1,1,4,4,2,2,3
5e947d14a861ff7892432286,Ensino Superior,Engenharias,Formação continuada - Em andamento,UFAL A.C. Simões,2,2,2,1,1,1,2,2,1,3,3,2,1,2,2,2,1,1,1,1,1,2,3
5e9482a2a861ff7892432292,Ensino Técnico,Ensino técnico,NA,UFAL A.C. Simões,4,3,3,3,2,1,1,2,1,3,3,3,2,1,2,3,4,1,3,2,2,2,2
5e948f03a861ff7896812d67,Ensino Superior,Ciências da Saúde,NA,UFAL A.C. Simões,2,2,1,1,2,2,2,2,2,2,2,4,1,3,2,3,2,2,2,2,2,2,3
5e9492cda861ff78924322e7,Ensino Superior,Ciências Sociais Aplicadas,NA,UFAL A.C. Simões,4,3,3,4,3,3,3,2,3,3,2,4,2,4,2,5,2,2,3,4,3,4,5
5e949de0a861ff7892432311,Ensino Superior,Linguística/Letras e Artes,NA,UFAL A.C. Simões,2,2,2,3,3,2,2,3,4,3,3,5,2,4,2,5,3,1,5,4,2,2,3
5e949fa4a861ff789243231a,Ensino Superior,Ciências Sociais Aplicadas,Formação continuada - Concluída,UFAL A.C. Simões,2,5,5,1,2,2,2,2,1,2,3,2,3,2,2,4,2,3,4,3,2,3,3
5e94ab3fa861ff7896812dad,Ensino Superior,Ciências Exatas e da Terra,Mestrado - Concluído,UFAL A.C. Simões,4,5,3,4,3,4,4,4,4,5,5,4,3,4,4,5,5,4,5,3,4,4,3
5e94bd37a861ff7892432380,Ensino Superior,Ciências da Saúde,NA,UFAL A.C. Simões,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,3,1,1,2,2
5e94bd54a861ff7892432381,Ensino Superior,Ciências da Saúde,Doutorado - Concluído,UFAL A.C. Simões,2,2,2,1,1,2,2,2,2,3,2,4,2,3,2,3,3,2,2,3,3,2,3
5e94cdf7a861ff789243241c,Ensino Superior,Ciências da Saúde,NA,UFAL A.C. Simões,2,4,2,1,1,1,4,3,3,3,4,3,2,2,2,5,3,1,4,2,2,3,3
5e94d558a861ff7896812e72,Ensino Superior,Ciências Humanas,NA,UFAL A.C. Simões,4,2,2,2,1,2,2,3,3,2,2,3,3,3,3,5,4,2,3,3,1,4,3
5e94e62ca861ff7892432450,Ensino Superior,Ciências Humanas,NA,UFAL A.C. Simões,2,2,2,1,2,2,2,3,2,3,2,5,1,3,1,3,2,1,2,2,2,1,3
5e94e6bca861ff7892432458,Ensino Superior,Ciências da Saúde,Formação continuada - Concluída,UFAL A.C. Simões,3,3,2,3,3,1,2,3,2,3,3,4,4,5,2,4,2,1,3,5,3,2,3
5e94e850a861ff789243246b,Ensino Superior,Ciências Sociais Aplicadas,Formação continuada - Concluída,UFAL A.C. Simões,4,3,3,2,3,1,5,3,3,2,3,4,1,3,2,3,4,4,3,3,2,2,3
5e95b898a861ff1209567c91,Ensino Superior,Ciências Humanas,NA,UFAL A.C. Simões,4,4,2,2,2,2,2,3,4,3,2,5,2,3,3,4,3,2,2,3,3,1,2
