ID,unidade,pedagogica,cidadania,desenvolvimento
5e85cfd48f0a292bf1adf31d,UFAL A.C. Simões,2.5,1.6666666666666667,2
5e85d5488f0a292beda2e4ea,UFAL A.C. Simões,2.25,3.3333333333333335,3.6666666666666665
5e85daf88f0a292beda2e51b,UFAL A.C. Simões,1.25,2,2.6666666666666665
5e85e4d08f0a292bf1adf359,UFAL A.C. Simões,4.25,2.8333333333333335,4.333333333333333
5e85e891a861ff4068363325,UFAL Arapiraca,2,2.3333333333333335,2.6666666666666665
5e8616bba861ff40683633e9,UFAL Arapiraca,1.75,2.1666666666666665,2
5e8625bca861ff4068363458,UFAL A.C. Simões,2.25,2.8333333333333335,2.6666666666666665
5e8625bda861ff4068363466,UFAL A.C. Simões,4.5,3.8333333333333335,3.3333333333333335
5e862977a861ff4068363494,UFAL A.C. Simões,2.25,2.3333333333333335,2.3333333333333335
5e863555a861ff406c58ede6,UFAL A.C. Simões,1.25,1.6666666666666667,1
5e863a5ca861ff40683634ff,UFAL A.C. Simões,3.75,2.6666666666666665,3
5e863f44a861ff406c58ee6c,UFAL A.C. Simões,3.5,2.1666666666666665,3
5e863fdca861ff406c58ee76,UFAL A.C. Simões,2.75,3.5,4
5e864e0ba861ff406c58ee96,UFAL A.C. Simões,1.75,3.1666666666666665,2.6666666666666665
5e865fb1a861ff406836358c,UFAL A.C. Simões,4.25,1.8333333333333333,4
5e866e64a861ff406c58ef03,UFAL A.C. Simões,4,2.8333333333333335,3.3333333333333335
5e867729a861ff406c58ef2a,UFAL A.C. Simões,3.75,4.166666666666667,4
5e86d007a861ff406c58efab,UFAL Arapiraca,1,1.5,1.6666666666666667
5e873049a861ff3f7a8ff2fb,UFAL A.C. Simões,1.75,2.5,1.6666666666666667
5e873c89a861ff3f7a8ff316,UFAL A.C. Simões,3.25,4.333333333333333,3.6666666666666665
5e873ff7a861ff3f7a8ff32f,UFAL A.C. Simões,2.25,2.3333333333333335,2
5e874035a861ff3f7a8ff330,UFAL A.C. Simões,2,1.3333333333333333,3
5e874106a861ff3f7a8ff332,UFAL A.C. Simões,1.25,2.1666666666666665,2
5e8743c4a861ff3f7eb2567d,UFAL Arapiraca,2.5,1.6666666666666667,2.6666666666666665
5e874564a861ff3f7eb2568a,UFAL A.C. Simões,2,1.3333333333333333,2
5e874983a861ff3f7eb256bb,UFAL A.C. Simões,3.75,3.3333333333333335,2.3333333333333335
5e874abca861ff3f7eb256c1,UFAL A.C. Simões,1,2.1666666666666665,2
5e874c73a861ff3f7a8ff3a8,UFAL A.C. Simões,2.75,4.833333333333333,4
5e874e1fa861ff3f7eb256ec,UFAL A.C. Simões,1.5,3,2.6666666666666665
5e874f31a861ff3f7eb256f6,UFAL A.C. Simões,1.5,1.8333333333333333,2.6666666666666665
5e875675a861ff3f7eb25712,UFAL A.C. Simões,1.75,2.1666666666666665,2.6666666666666665
5e875a57a861ff3f7a8ff403,UFAL A.C. Simões,1.75,2.1666666666666665,1.6666666666666667
5e87673fa861ff3f7eb25746,UFAL A.C. Simões,3.5,2,3.3333333333333335
5e87708fa861ff3f7eb25777,UFAL A.C. Simões,2.75,2.8333333333333335,2.3333333333333335
5e877437a861ff3f7a8ff45d,UFAL A.C. Simões,2.25,1,2.6666666666666665
5e87819ca861ff3f7a8ff465,UFAL A.C. Simões,3.5,3,3.3333333333333335
5e878263a861ff3f7eb2579a,UFAL A.C. Simões,3.5,3.5,3.3333333333333335
5e87839ca861ff3f7eb257a1,UFAL A.C. Simões,3,2.6666666666666665,3.6666666666666665
5e87865da861ff3f7a8ff485,UFAL A.C. Simões,4,2.5,4
5e8792eaa861ff3f7eb257f5,UFAL A.C. Simões,1.25,2.5,3.6666666666666665
5e87c83ba861ff3f7eb25870,UFAL A.C. Simões,2.5,2.1666666666666665,2.6666666666666665
5e87d37ba861ff3f7eb25881,UFAL A.C. Simões,1.5,2.3333333333333335,2
5e87f19ca861ff3f7a8ff570,UFAL Arapiraca,3.5,3.6666666666666665,4
