resp,longstring,ID,etapa.de.ensino,area.de.conhecimento,formacao.continuada,unidade,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23
37,21,5e877f0ea861ff3f7eb25787,Ensino Superior,Engenharias,Mestrado - Concluído,UFAL A.C. Simões,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
59,15,5e887ceba861ff6760681c8e,Ensino Superior,Ciências Humanas,NA,UFAL A.C. Simões,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2
