ID,etapa.de.ensino,unidade,pedagogica,cidadania,desenvolvimento
5e88be8ea861ff675c201ca7,Ensino Superior,UFAL A.C. Simões,4.5,3.1666666666666665,3.3333333333333335
5e88c0c9a861ff675c201cbb,Ensino Superior,UFAL Arapiraca,1.25,1.6666666666666667,2
5e88c2b5a861ff6760681d34,Ensino Superior,UFAL A.C. Simões,1.75,1.6666666666666667,1
5e88ce93a861ff675c201d03,Ensino Superior,UFAL A.C. Simões,3,2.3333333333333335,2.3333333333333335
5e88d2eca861ff675c201d0e,Ensino Superior,UFAL A.C. Simões,4,3.5,4.333333333333333
5e88d3d8a861ff675c201d14,Ensino Superior,UFAL Arapiraca,3.75,3,3.3333333333333335
5e88d974a861ff675c201d3c,Ensino Superior,UFAL A.C. Simões,3.25,2.8333333333333335,3
5e88e28aa861ff675c201d52,Ensino Superior,UFAL CECA,1.75,3,3.6666666666666665
5e88eb57a861ff675c201d87,Ensino Superior,UFAL A.C. Simões,2.75,3.8333333333333335,3.3333333333333335
5e88edfda861ff6760681e33,Ensino Superior,UFAL A.C. Simões,3.25,1.8333333333333333,1.6666666666666667
5e88fdd4a861ff6760681e4b,Ensino Superior,UFAL A.C. Simões,1.75,2.8333333333333335,1.6666666666666667
5e890798a861ff6760681e79,Ensino Superior,UFAL A.C. Simões,1.75,2.1666666666666665,2.3333333333333335
5e891eeba861ff6760681eac,Ensino Superior,UFAL A.C. Simões,4.25,3,2
5e892524a861ff675c201dfa,Ensino Superior,UFAL A.C. Simões,1.75,3.5,2
5e89401ca861ff6760681ee5,Ensino Superior,UFAL A.C. Simões,2.75,2.6666666666666665,3
5e8943f4a861ff6760681eef,Ensino Superior,UFAL A.C. Simões,2.5,2.3333333333333335,3
5e894944a861ff675c201e38,Ensino Superior,UFAL A.C. Simões,2,2.1666666666666665,3.3333333333333335
5e894bfca861ff6760681f07,Ensino Superior,UFAL Arapiraca,1.5,2.3333333333333335,2.3333333333333335
5e895892a861ff675c201e4e,Ensino Superior,UFAL A.C. Simões,2,2.3333333333333335,2.3333333333333335
5e89dcd6a861ff7eba14d485,Ensino Superior,UFAL Arapiraca,2,2.1666666666666665,2.3333333333333335
5e89fe82a861ff7eb664f6cd,Ensino Superior,UFAL A.C. Simões,3.5,2.5,3
5e8a1b8da861ff7eb664f6e8,Ensino Superior,UFAL A.C. Simões,1.25,1.6666666666666667,1.3333333333333333
5e8a1d31a861ff7eb664f6f5,Ensino Superior,UFAL Sertão,3.5,3.6666666666666665,4
5e8a1e32a861ff7eba14d4f4,Ensino Superior,UFAL Sertão,3.5,2.8333333333333335,2.6666666666666665
5e8a207da861ff7eba14d50d,Ensino Superior,UFAL Arapiraca,2.25,2,3.6666666666666665
5e8a2944a861ff7eb664f720,Ensino Superior,UFAL A.C. Simões,1.25,1.3333333333333333,2
5e8a29b5a861ff7eba14d51f,Ensino Superior,UFAL A.C. Simões,4.25,2.5,3
5e8a2f5aa861ff7eb664f741,Ensino Superior,UFAL A.C. Simões,1.5,1.6666666666666667,2.3333333333333335
5e8a3062a861ff7eba14d55d,Ensino Superior,UFAL A.C. Simões,1.25,2.8333333333333335,3
5e8a3176a861ff7eb664f74d,Ensino Superior,UFAL A.C. Simões,1.25,2,2.3333333333333335
5e8a3213a861ff7eba14d568,Ensino Superior,UFAL Arapiraca,1.5,2,1.6666666666666667
5e8a328aa861ff7eba14d56d,Ensino Superior,UFAL Arapiraca,1.75,2.5,2
5e8a331da861ff7eba14d574,Ensino Superior,UFAL A.C. Simões,2.5,3.1666666666666665,2
5e8a347fa861ff7eb664f773,Ensino Superior,UFAL A.C. Simões,2.5,2.6666666666666665,3.6666666666666665
5e8a3535a861ff7eba14d598,Ensino Técnico,UFAL A.C. Simões,1.25,2,3
5e8a39b0a861ff7eba14d5a8,Ensino Superior,UFAL Arapiraca,2,2.1666666666666665,3
5e8a3b38a861ff7eb664f78a,Ensino Superior,UFAL A.C. Simões,4,4.166666666666667,3.6666666666666665
5e8a4457a861ff7eb664f7bd,Ensino Superior,UFAL A.C. Simões,1,1.6666666666666667,1.6666666666666667
5e8a4c93a861ff7eb664f7c6,Ensino Superior,UFAL Arapiraca,2,2.1666666666666665,2.6666666666666665
5e8a4ce7a861ff7eba14d603,Ensino Superior,UFAL A.C. Simões,2.5,2.5,2
5e8a4e84a861ff7eb664f7d2,Ensino Superior,UFAL Arapiraca,1.5,2,2.6666666666666665
5e8a558ba861ff7eb664f7e9,Ensino Superior,UFAL Arapiraca,1.25,2.5,2.6666666666666665
5e8a656ca861ff7eba14d628,Ensino Superior,UFAL A.C. Simões,1.25,1.3333333333333333,1.3333333333333333
5e8a6f76a861ff7eba14d651,Ensino Superior,UFAL A.C. Simões,1.25,2,2.6666666666666665
5e8a7085a861ff7eba14d656,Ensino Superior,UFAL A.C. Simões,3.75,4,3.6666666666666665
5e8a70c9a861ff7eba14d658,Ensino Superior,UFAL A.C. Simões,2,2.6666666666666665,3.3333333333333335
5e8a7c5aa861ff7eb664f828,Ensino Superior,UFAL A.C. Simões,1.25,2.8333333333333335,3.3333333333333335
5e8a815aa861ff7eb664f840,Ensino Superior,UFAL A.C. Simões,2.75,2.8333333333333335,3.3333333333333335
5e8a8c0ca861ff7eba14d69b,Ensino Superior,UFAL Arapiraca,1,2.1666666666666665,1.3333333333333333
5e8b0f58a861ff132c369fac,Ensino Superior,UFAL CECA,1.5,2.3333333333333335,2.3333333333333335
5e8b127ba861ff132841abf1,Ensino Superior,UFAL A.C. Simões,1.25,2.5,1.6666666666666667
5e8b1a05a861ff132c369fed,Ensino Superior,UFAL A.C. Simões,1.75,1.8333333333333333,2
5e8b1f08a861ff132841ac37,Ensino Superior,UFAL A.C. Simões,1.75,2.3333333333333335,3
5e8b2395a861ff132c36a00d,Ensino Superior,UFAL A.C. Simões,1.5,3,3
5e8b2422a861ff132c36a010,Ensino Superior,UFAL Arapiraca,1.5,2,1.6666666666666667
5e8b2457a861ff132841ac5f,Ensino Superior,UFAL A.C. Simões,2.5,3.3333333333333335,3.3333333333333335
5e8b2a91a861ff132c36a033,Ensino Superior,UFAL A.C. Simões,2.75,3,3
5e8b2da2a861ff132841af27,Ensino Superior,UFAL A.C. Simões,1,2.1666666666666665,1.3333333333333333
5e8b2dbda861ff132c36a2fe,Ensino Superior,UFAL A.C. Simões,3,2.8333333333333335,2.6666666666666665
5e8b3157a861ff132c36a8d1,Ensino Superior,UFAL A.C. Simões,1.25,2,2
5e8b3182a861ff132c36a91f,Ensino Superior,UFAL A.C. Simões,1.25,3.6666666666666665,2.6666666666666665
5e8b31e8a861ff132841b5d9,Ensino Superior,UFAL A.C. Simões,2.25,2.6666666666666665,3
5e8b3620a861ff6839af05c9,Ensino Superior,UFAL Arapiraca,1,1.1666666666666667,1.6666666666666667
5e8b36b3a861ff6839af063c,Ensino Superior,UFAL A.C. Simões,2.5,2.8333333333333335,3.6666666666666665
5e8b36fca861ff6839af067a,Ensino Superior,UFAL Arapiraca,2.5,3.1666666666666665,3.6666666666666665
5e8b37f7a861ff6835a5c0a0,Ensino Superior,UFAL A.C. Simões,4.5,3.6666666666666665,3
5e8b38a4a861ff6835a5c104,Ensino Superior,UFAL A.C. Simões,1.25,1.5,2.3333333333333335
5e8b39a5a861ff6839af07f6,Ensino Superior,UFAL A.C. Simões,3.5,3.6666666666666665,4
5e8b39d9a861ff6835a5c1a7,Ensino Superior,UFAL Sertão,4,2.5,3
5e8b3c35a861ff6835a5c2d4,Ensino Superior,UFAL A.C. Simões,2,2.5,3.6666666666666665
5e8b3c8ba861ff6835a5c2f4,Ensino Superior,UFAL A.C. Simões,2.5,3.1666666666666665,2.6666666666666665
5e8b3d3ca861ff6835a5c338,Ensino Superior,UFAL A.C. Simões,1.5,1.5,1.3333333333333333
5e8b41dfa861ff6835a5c464,Ensino Superior,UFAL A.C. Simões,3,2.1666666666666665,2.6666666666666665
5e8b42f4a861ff6839af0a93,Ensino Superior,UFAL CECA,1.75,2.3333333333333335,3
5e8b4adca861ff6839af0b99,Ensino Superior,UFAL A.C. Simões,2.5,3.1666666666666665,3.3333333333333335
5e8b4d6da861ff6835a5c59e,Ensino Superior,UFAL A.C. Simões,1.5,2.1666666666666665,2.6666666666666665
5e8b50d3a861ff6835a5c646,Ensino Superior,UFAL A.C. Simões,1.25,2.8333333333333335,3
5e8b580ba861ff6839af0daa,Ensino Superior,UFAL A.C. Simões,1.25,3,3.3333333333333335
5e8b5973a861ff6839af0ddf,Ensino Superior,UFAL Arapiraca,1,1.5,1.3333333333333333
5e8b5a67a861ff6839af0dfa,Ensino Superior,UFAL A.C. Simões,1,2.8333333333333335,3
5e8b626da861ff6835a5c837,Ensino Superior,UFAL A.C. Simões,1.75,2,3.3333333333333335
5e8b6656a861ff6839af0ef7,Ensino Superior,UFAL A.C. Simões,1.75,1.8333333333333333,2
5e8b6786a861ff6839af0f04,Ensino Superior,UFAL A.C. Simões,2,2.5,2.6666666666666665
5e8b6a51a861ff6835a5c8bd,Ensino Superior,UFAL A.C. Simões,2,2.6666666666666665,4
5e8b6a9da861ff6839af0f14,Ensino Superior,UFAL A.C. Simões,1.5,2.3333333333333335,2.3333333333333335
