ID,area.de.conhecimento,formacao.continuada,unidade,pedagogica,cidadania,desenvolvimento
5e85daf88f0a292beda2e51b,Ciências Humanas,Formação continuada - Concluída,UFAL A.C. Simões,1.25,2,2.6666666666666665
5e85e4d08f0a292bf1adf359,Ciências Sociais Aplicadas,Pós-doutorado - Em andamento,UFAL A.C. Simões,4.25,2.8333333333333335,4.333333333333333
5e8616bba861ff40683633e9,Ciências Biológicas,Formação continuada - Concluída,UFAL Arapiraca,1.75,2.1666666666666665,2
5e863a5ca861ff40683634ff,Ciências Sociais Aplicadas,Formação continuada - Concluída,UFAL A.C. Simões,3.75,2.6666666666666665,3
5e863fdca861ff406c58ee76,Ciências Sociais Aplicadas,Mestrado - Concluído,UFAL A.C. Simões,2.75,3.5,4
5e864e0ba861ff406c58ee96,Ciências Sociais Aplicadas,Formação continuada - Concluída,UFAL A.C. Simões,1.75,3.1666666666666665,2.6666666666666665
5e865fb1a861ff406836358c,Ciências Sociais Aplicadas,Formação continuada - Concluída,UFAL A.C. Simões,4.25,1.8333333333333333,4
5e866e64a861ff406c58ef03,Ciências Sociais Aplicadas,Formação continuada - Concluída,UFAL A.C. Simões,4,2.8333333333333335,3.3333333333333335
5e867729a861ff406c58ef2a,Ciências Humanas,Formação continuada - Concluída,UFAL A.C. Simões,3.75,4.166666666666667,4
5e873c89a861ff3f7a8ff316,Ciências Humanas,Formação continuada - Concluída,UFAL A.C. Simões,3.25,4.333333333333333,3.6666666666666665
5e873ff7a861ff3f7a8ff32f,Ciências Exatas e da Terra,Formação continuada - Concluída,UFAL A.C. Simões,2.25,2.3333333333333335,2
5e874106a861ff3f7a8ff332,Ciências Exatas e da Terra,Graduação - Concluída,UFAL A.C. Simões,1.25,2.1666666666666665,2
5e8743c4a861ff3f7eb2567d,Ciências Agrárias,Formação continuada - Em andamento,UFAL Arapiraca,2.5,1.6666666666666667,2.6666666666666665
5e874564a861ff3f7eb2568a,Ciências Humanas,Especialização - Concluída,UFAL A.C. Simões,2,1.3333333333333333,2
5e874e1fa861ff3f7eb256ec,Ciências Humanas,Formação continuada - Concluída,UFAL A.C. Simões,1.5,3,2.6666666666666665
5e875675a861ff3f7eb25712,Ciências Sociais Aplicadas,Doutorado - Em andamento,UFAL A.C. Simões,1.75,2.1666666666666665,2.6666666666666665
5e877437a861ff3f7a8ff45d,Engenharias,Formação continuada - Concluída,UFAL A.C. Simões,2.25,1,2.6666666666666665
5e87819ca861ff3f7a8ff465,Engenharias,Graduação - Concluída,UFAL A.C. Simões,3.5,3,3.3333333333333335
5e878263a861ff3f7eb2579a,Engenharias,Formação continuada - Concluída,UFAL A.C. Simões,3.5,3.5,3.3333333333333335
5e8792eaa861ff3f7eb257f5,Ciências da Saúde,Formação continuada - Concluída,UFAL A.C. Simões,1.25,2.5,3.6666666666666665
5e87f19ca861ff3f7a8ff570,Ciências Exatas e da Terra,Doutorado - Concluído,UFAL Arapiraca,3.5,3.6666666666666665,4
5e883c11a861ff6760681bf9,Ciências Humanas,Formação continuada - Em andamento,UFAL Arapiraca,3.75,3.3333333333333335,3.3333333333333335
5e886ff3a861ff675c201ba3,Ensino técnico,Especialização - Concluída,UFAL A.C. Simões,4,4,3.6666666666666665
5e887338a861ff6760681c61,Ciências Sociais Aplicadas,Doutorado - Concluído,UFAL Arapiraca,1.5,2.5,2.6666666666666665
5e88a65fa861ff675c201c49,Ciências Sociais Aplicadas,Mestrado - Concluído,UFAL Sertão,3.25,3.6666666666666665,2.6666666666666665
5e88aad9a861ff675c201c73,Ciências Sociais Aplicadas,Doutorado - Concluído,UFAL A.C. Simões,1.25,2.5,1.3333333333333333
5e88b62fa861ff6760681cfb,Ciências da Saúde,Graduação - Em andamento,UFAL A.C. Simões,3.75,2.5,3
5e88be8ea861ff675c201ca7,Ciências Sociais Aplicadas,Doutorado - Concluído,UFAL A.C. Simões,4.5,3.1666666666666665,3.3333333333333335
5e88ce93a861ff675c201d03,Ciências Sociais Aplicadas,Doutorado - Concluído,UFAL A.C. Simões,3,2.3333333333333335,2.3333333333333335
5e88d2eca861ff675c201d0e,Ciências Sociais Aplicadas,Formação continuada - Concluída,UFAL A.C. Simões,4,3.5,4.333333333333333
5e88d3d8a861ff675c201d14,Ciências Exatas e da Terra,Doutorado - Concluído,UFAL Arapiraca,3.75,3,3.3333333333333335
5e891eeba861ff6760681eac,Engenharias,Formação continuada - Em andamento,UFAL A.C. Simões,4.25,3,2
5e89401ca861ff6760681ee5,Ciências Humanas,Formação continuada - Concluída,UFAL A.C. Simões,2.75,2.6666666666666665,3
5e895892a861ff675c201e4e,Ciências Humanas,Formação continuada - Em andamento,UFAL A.C. Simões,2,2.3333333333333335,2.3333333333333335
5e8a207da861ff7eba14d50d,Ciências Sociais Aplicadas,Formação continuada - Concluída,UFAL Arapiraca,2.25,2,3.6666666666666665
5e8a2944a861ff7eb664f720,Ciências Sociais Aplicadas,Doutorado - Concluído,UFAL A.C. Simões,1.25,1.3333333333333333,2
5e8a29b5a861ff7eba14d51f,Ciências Humanas,Pós-doutorado - Concluído,UFAL A.C. Simões,4.25,2.5,3
5e8a3b38a861ff7eb664f78a,Ciências Humanas,Especialização - Concluída,UFAL A.C. Simões,4,4.166666666666667,3.6666666666666665
5e8a6f76a861ff7eba14d651,Ciências da Saúde,Formação continuada - Concluída,UFAL A.C. Simões,1.25,2,2.6666666666666665
5e8a7085a861ff7eba14d656,Linguística/Letras e Artes,Formação continuada - Concluída,UFAL A.C. Simões,3.75,4,3.6666666666666665
5e8a7c5aa861ff7eb664f828,Ciências Exatas e da Terra,Pós-doutorado - Concluído,UFAL A.C. Simões,1.25,2.8333333333333335,3.3333333333333335
5e8b0f58a861ff132c369fac,Ciências Agrárias,Formação continuada - Concluída,UFAL CECA,1.5,2.3333333333333335,2.3333333333333335
5e8b1a05a861ff132c369fed,Ciências Sociais Aplicadas,Formação continuada - Concluída,UFAL A.C. Simões,1.75,1.8333333333333333,2
5e8b2dbda861ff132c36a2fe,Ciências Sociais Aplicadas,Doutorado - Concluído,UFAL A.C. Simões,3,2.8333333333333335,2.6666666666666665
5e8b3157a861ff132c36a8d1,Ciências Exatas e da Terra,Pós-doutorado - Concluído,UFAL A.C. Simões,1.25,2,2
5e8b3182a861ff132c36a91f,Ciências Biológicas,Pós-doutorado - Concluído,UFAL A.C. Simões,1.25,3.6666666666666665,2.6666666666666665
5e8b36b3a861ff6839af063c,Ciências da Saúde,Doutorado - Concluído,UFAL A.C. Simões,2.5,2.8333333333333335,3.6666666666666665
5e8b39a5a861ff6839af07f6,Ciências Exatas e da Terra,Formação continuada - Concluída,UFAL A.C. Simões,3.5,3.6666666666666665,4
5e8b39d9a861ff6835a5c1a7,Linguística/Letras e Artes,Doutorado - Concluído,UFAL Sertão,4,2.5,3
5e8b3c35a861ff6835a5c2d4,Ciências Humanas,Mestrado - Concluído,UFAL A.C. Simões,2,2.5,3.6666666666666665
